ID,comp,NIONS,energy,niteration
mp-763-1,B2Mg1,3,-626.4934640435,2
mp-763-2,B2Mg1,3,-626.4934668099,2
mp-763-3,B2Mg1,3,-626.4934678530,2
mp-763-4,B2Mg1,3,-626.4934673088,2
mp-763-5,B2Mg1,3,-626.4934644063,2
mp-763-6,B2Mg1,3,-626.4934661750,2
mp-763-7,B2Mg1,3,-626.4934672181,2
mp-763-8,B2Mg1,3,-626.4934669914,2
mp-763-9,B2Mg1,3,-626.4934610502,2
mp-763-10,B2Mg1,3,-626.4934610502,2
mp-763-11,B2Mg1,3,-626.4934637260,2
mp-763-12,B2Mg1,3,-626.4934646784,2
mp-763-13,B2Mg1,3,-626.4936012342,2
mp-763-14,B2Mg1,3,-626.4937762489,2
mp-763-15,B2Mg1,3,-626.4937762489,2
mp-763-16,B2Mg1,3,-626.4936012342,2
mp-763-17,B2Mg1,3,-626.4934646330,2
mp-763-18,B2Mg1,3,-626.4934616398,2
mp-763-19,B2Mg1,3,-626.4934616398,2
mp-763-20,B2Mg1,3,-626.4934646330,2
mp-763-21,B2Mg1,3,-626.0678748621,2
mp-763-22,B2Mg1,3,-626.0678715514,2
mp-763-23,B2Mg1,3,-626.0678715514,2
mp-763-24,B2Mg1,3,-626.0678748621,2
