ID,compound,spacegroup,volume,band_gap,stability
oqmd-5087,B2Mg1,P6/mmm,28.602,0.0,3.2766666667016775e-05
oqmd-4315,B4Mg1,Pnma,177.347,0.505,0.0
oqmd-23820,B7Mg1,Imma,251.102,1.595,0.0
oqmd-520774,B1,R-3m,86.2725,1.519,8.5923333330129e-05
oqmd-595869,B1,R-3m,86.2481,1.535,9.23899999998312e-05
oqmd-613825,B1,R-3m,86.303,1.521,5.22799999993495e-05
oqmd-620379,B1,R-3m,86.351,1.53,0.0
oqmd-598035,B1,R-3m,86.2631,1.522,6.10258333297864e-05
oqmd-636882,B1,R-3m,86.2599,1.539,7.84958333301944e-05
oqmd-98302,B2Mg1,P6/mmm,28.6,0.0,0.0
oqmd-98303,B2Mg1,P6/mmm,28.5916,0.0,0.0
oqmd-116738,B2Mg1,P6/mmm,28.5752,0.0,4.367666666701964e-05
oqmd-117289,B2Mg1,P6/mmm,28.5416,0.0,0.00011046000000100586
oqmd-752496,Mg1,Cmcm,91.4963,0.0,5.5103333330031e-05
oqmd-752493,Mg1,Cmcm,91.5178,0.0,5.53708333299596e-05
oqmd-752498,Mg1,Cmcm,91.4963,0.0,5.51008333298242e-05
oqmd-752503,Mg1,Cmcm,91.5178,0.0,5.53708333299596e-05
oqmd-752513,Mg1,Cmcm,91.4963,0.0,5.51008333298242e-05
oqmd-752518,Mg1,Cmcm,91.4963,0.0,5.51008333298242e-05
oqmd-752508,Mg1,P63/mmc,137.273,0.0,1.74674999999791e-05
oqmd-752516,Mg1,P63/mmc,137.288,0.0,1.30008333298903e-05
oqmd-752492,Mg1,Cmcm,274.982,0.0,0.0
oqmd-752509,Mg1,Cmcm,274.901,0.0,2.07791666599899e-05
oqmd-752520,Mg1,Cmcm,274.901,0.0,2.07791666599899e-05
